source_string,translated_string,context
TSE Security Device,TSE Sicherheitseinrichtung,
TSE Client,TSE Kasse,
Internal Name,Interner Name,
Company,Firma,
Settings,Einstellungen,
Create TSS at Provider,TSE beim Anbieter anlegen,
Initialize TSS,TSE initialisieren,
TSE connection successful,TSE-Verbindung erfolgreich,
TSE connection failed,TSE-Verbindung fehlgeschlagen,
POS Profile,Kassenprofil,
TSE Provider,TSE Provider
Only intended for people who know what they are doing.,"Nur für Personen gedacht, die wissen, was Sie tun."
Development,Entwicklung
Organization,Organisation
General,Allgemein
Activated,Aktivert
Login details,Zugangsdaten
TSE Credentials,TSE Zugangsdaten,
DSFinV-K Credentials,DSFinV-K Zugangsdaten,
TSE API Key,TSE API-Key,
TSE API Secret,TSE API-Secret,
DSFinV-K API Key,DSFinV-K API-Key,
DSFinV-K API Secret,DSFinV-K API-Secret,
TSE Security Device Details,TSE-Sicherheitsvorrichtung Details
TSE Serial Number,TSE-Seriennummer
Activated at,Aktiviert um
Deactivated at,Deaktiviert am
Provider Responses,Ergebnisse des Anbieters
Provider Events,Provider Events
"A TSE transaction is mandatory before a POS Invoice can be submitted.","Eine TSE-Transaktion ist erforderlich, bevor eine POS-Rechnung eingereicht werden kann."
"The attached TSE Transaction is not yet finished (Transaction status: {0}).","Die verknüpfte TSE-Transaktion ist noch nicht abgeschlossen (Transaktionsstatus: {0})."
"POS Invoice was submitted without a linked TSE transaction.","Die POS-Rechnung wurde ohne verknüpfte TSE-Transaktion eingereicht."
"TSE Error","TSE-Fehler"
"<b>TSE signing completed successfully</b><br>TSE transaction: {0}","<b>TSE-Signierung erfolgreich abgeschlossen</b><br>TSE-Transaktion: {0}"
"TSE signing failed.<br><b>Status:</b> {0}<br><b>TSE transaction:</b> {1}","TSE-Signierung fehlgeschlagen.<br><b>Status:</b> {0}<br><b>TSE-Transaktion:</b> {1}"
"Unknown","Unbekannt"
"TSE signing failed","TSE-Signierung fehlgeschlagen"
"TSE Auth Failed","TSE-Authentifizierung fehlgeschlagen"
"Authentication failed. Please check your settings.","Authentifizierung fehlgeschlagen. Bitte prüfen Sie Ihre Einstellungen."
"TSE Auth Result","TSE-Authentifizierungsergebnis"
"Test TSE Auth","TSE-Authentifizierung testen",
"Testing TSE connection...","TSE-Verbindung wird getestet...",
"Test DSFinV-K Auth","DSFinV-K-Authentifizierung testen",
"Testing DSFinV-K connection...","DSFinV-K-Verbindung wird getestet...",
"DSFinV-K Auth Failed","DSFinV-K-Authentifizierung fehlgeschlagen",
"DSFinV-K Auth Result","DSFinV-K-Authentifizierungsergebnis",
"Status","Status"
"Environment","Umgebung"
"Organization ID","Organisations-ID"
"Access Token Expires At","Access-Token läuft ab am"
"TSE Token","TSE Token",
"TSE Access Token","TSE Access Token",
"TSE Access Token Expires At","TSE Access Token läuft ab am",
"TSE Refresh Token","TSE Refresh Token",
"TSE Refresh Token Expires At","TSE Refresh Token läuft ab am",
"TSE Auth Status","TSE Auth-Status",
"TSE Last Auth Status","TSE Letzter Auth-Status",
"TSE Last Auth Message","TSE Letzte Auth-Nachricht",
"DSFinV-K Organization","DSFinV-K Organisation",
"DSFinV-K Token","DSFinV-K Token",
"DSFinV-K Access Token","DSFinV-K Access Token",
"DSFinV-K Access Token Expires At","DSFinV-K Access Token läuft ab am",
"DSFinV-K Refresh Token","DSFinV-K Refresh Token",
"DSFinV-K Refresh Token Expires At","DSFinV-K Refresh Token läuft ab am",
"DSFinV-K Auth Status","DSFinV-K Auth-Status",
"DSFinV-K Last Auth Status","DSFinV-K Letzter Auth-Status",
"DSFinV-K Last Auth Message","DSFinV-K Letzte Auth-Nachricht",
"TSE Enabled","TSE aktiviert"
"TSE integration has been enabled. Please save to apply changes.","Die TSE-Integration wurde aktiviert. Bitte speichern, um die Änderungen zu übernehmen."
"TSE Disabled","TSE deaktiviert"
"TSE integration has been disabled. Please save to apply changes.","Die TSE-Integration wurde deaktiviert. Bitte speichern, um die Änderungen zu übernehmen."
"Recovery Sync","Recovery-Sync"
"Recovery sync queued.","Recovery-Sync eingereiht."
"Could not start recovery sync.","Recovery-Sync konnte nicht gestartet werden."
"Starting recovery sync...","Recovery-Sync wird gestartet..."
"Recovery sync finished.","Recovery-Sync abgeschlossen."
"Recovery sync queued (Job ID: {0})","Recovery-Sync eingereiht (Job-ID: {0})."
"The following TSE Security Devices have no Admin PUK stored. Please enter the PUKs now and save them securely.","Für die folgenden TSE-Sicherheitseinrichtungen ist kein Admin-PUK gespeichert. Bitte geben Sie die PUKs jetzt ein und speichern Sie sie sicher."
"TSS ID","TSS-ID"
"Admin PUK","Admin-PUK"
"Missing Admin PUKs","Fehlende Admin-PUKs"
"Save PUKs","PUKs speichern"
"Saving Admin PUKs...","Admin-PUKs werden gespeichert..."
"Admin PUKs saved.","Admin-PUKs gespeichert."
"Error","Fehler"
"Please confirm that you have stored Admin PUK and TSS ID.","Bitte bestätigen Sie, dass Sie Admin-PUK und TSS-ID gespeichert haben."
"No TSE provider configured. Please select a TSE Provider in TSE Settings.","Kein TSE-Anbieter konfiguriert. Bitte wählen Sie einen TSE-Anbieter in den TSE Settings aus."
"Unsupported TSE provider: {0}","Nicht unterstützter TSE-Anbieter: {0}"
"You must choose a TSE Provider before enabling the TSE integration.","Sie müssen einen TSE-Anbieter auswählen, bevor Sie die TSE-Integration aktivieren."
"TSE integration is disabled. Please enable it in TSE Settings before testing auth.","Die TSE-Integration ist deaktiviert. Bitte aktivieren Sie sie in den TSE Settings, bevor Sie die Authentifizierung testen."
"No TSS ID is set yet.","Es ist noch keine TSS-ID hinterlegt."
"No Admin PUK stored. Please re-create the TSS or add the PUK.","Kein Admin-PUK gespeichert. Bitte TSS neu anlegen oder PUK nachtragen."
"TSE functionality is not enabled in TSE Settings. Please enable it before creating a TSE Security Device.","TSE-Funktionalität ist in den TSE Settings nicht aktiviert. Bitte aktivieren Sie sie, bevor Sie eine TSE-Sicherheitseinrichtung anlegen."
"TSS can only be created at provider when status is 'DRAFT'. Current status: {0}","TSS kann nur beim Anbieter angelegt werden, wenn der Status 'DRAFT' ist. Aktueller Status: {0}"
"Error while creating TSS at provider","Fehler beim Anlegen der TSS beim Anbieter."
"TSS created at provider","TSS beim Anbieter angelegt."
"Cannot deploy TSS without tss_id.","TSS kann ohne tss_id nicht bereitgestellt werden."
"TSS can only be deployed when status is 'CREATED'. Current status: {0}","TSS kann nur bereitgestellt werden, wenn der Status 'CREATED' ist. Aktueller Status: {0}"
"Error while deploying TSS at provider","Fehler beim Bereitstellen der TSS beim Anbieter."
"TSS deployed at provider (state UNINITIALIZED)","TSS beim Anbieter bereitgestellt (Status UNINITIALIZED)."
"Cannot initialize TSS without tss_id.","TSS kann ohne tss_id nicht initialisiert werden."
"TSS can only be initialized when status is 'UNINITIALIZED'. Current status: {0}","TSS kann nur initialisiert werden, wenn der Status 'UNINITIALIZED' ist. Aktueller Status: {0}"
"Error while initializing TSS at provider","Fehler beim Initialisieren der TSS beim Anbieter."
"TSS initialized at provider","TSS beim Anbieter initialisiert."
"Cannot disable TSS without tss_id.","TSS kann ohne tss_id nicht deaktiviert werden."
"TSS can only be disabled when status is 'INITIALIZED' or 'INITIALIZED'. Current status: {0}","TSS kann nur deaktiviert werden, wenn der Status 'INITIALIZED' oder 'INITIALIZED' ist. Aktueller Status: {0}"
"Could not deregister TSE Client {0} before disabling TSS: {1}","TSE-Client {0} konnte vor dem Deaktivieren der TSS nicht deregistriert werden: {1}"
"Error while disabling TSS at provider","Fehler beim Deaktivieren der TSS beim Anbieter."
"TSS disabled at provider","TSS beim Anbieter deaktiviert."
"Admin PIN set at provider and stored in document","Admin-PIN beim Anbieter gesetzt und im Dokument gespeichert."
"Unexpected response while fetching TSS list from provider.","Unerwartete Antwort beim Abrufen der TSS-Liste vom Anbieter."
"Updated from provider during recovery sync.","Während des Recovery-Sync vom Anbieter aktualisiert."
"Checked provider during recovery sync (no changes).","Anbieter während des Recovery-Sync geprüft (keine Änderungen)."
"Created from provider during recovery sync.","Während des Recovery-Sync vom Anbieter erstellt."
"TSE functionality is disabled in TSE Settings.","TSE-Funktionalität ist in den TSE Settings deaktiviert."
"Recovery mode is disabled in TSE Settings.","Recovery-Modus ist in den TSE Settings deaktiviert."
"Marked as ORPHANED because TSS was not found at provider.","Als ORPHANED markiert, weil die TSS beim Anbieter nicht gefunden wurde."
"Recovery sync completed successfully.","Recovery-Sync erfolgreich abgeschlossen."
"TSE Recovery Sync failed","TSE-Recovery-Sync fehlgeschlagen"
"Invalid payload for admin PUKs.","Ungültige Nutzlast für Admin-PUKs."
"Unexpected response while fetching client list from provider.","Unerwartete Antwort beim Abrufen der Client-Liste vom Anbieter."
"Marked as ORPHANED because client was not found at provider.","Als ORPHANED markiert, weil der Client beim Anbieter nicht gefunden wurde."
"{0} created","{0} erstellt"
"{0} updated","{0} aktualisiert"
"{0} unchanged","{0} unverändert"
"{0} orphaned","{0} verwaist"
"{0} skipped (missing device)","{0} übersprungen (Gerät fehlt)"
"TSE Client Recovery Sync failed","TSE-Client-Recovery-Sync fehlgeschlagen"
"Unexpected response while fetching transaction list from provider.","Unerwartete Antwort beim Abrufen der Transaktionsliste vom Anbieter."
"{0} skipped (missing transaction id)","{0} übersprungen (fehlende Transaktions-ID)"
"TSE Transaction Recovery Sync failed","TSE-Transaktions-Recovery-Sync fehlgeschlagen"
"Only TSE Security Devices with status 'INITIALIZED' can be linked to a TSE Client. Current status: {0}","Nur TSE-Sicherheitseinrichtungen mit Status 'INITIALIZED' können mit einem TSE-Client verknüpft werden. Aktueller Status: {0}"
"TSE functionality is not enabled in TSE Settings. Please enable it before creating a TSE Client.","TSE-Funktionalität ist in den TSE Settings nicht aktiviert. Bitte aktivieren Sie sie, bevor Sie einen TSE-Client anlegen."
"Please select a TSE Security Device first.","Bitte wählen Sie zuerst eine TSE-Sicherheitseinrichtung."
"Client can only be created at provider when status is 'DRAFT'. Current status: {0}","Der Client kann nur beim Anbieter angelegt werden, wenn der Status 'DRAFT' ist. Aktueller Status: {0}"
"This TSE Client already has a client_id ({0}).","Dieser TSE-Client hat bereits eine client_id ({0})."
"Selected TSE Security Device has no tss_id yet.","Die ausgewählte TSE-Sicherheitseinrichtung hat noch keine tss_id."
"Error while creating client at provider for TSE Client {0}","Fehler beim Anlegen des Clients beim Anbieter für TSE-Client {0}."
"Client {0} created at provider for TSS {1}","Client {0} beim Anbieter für TSS {1} angelegt."
"Client can only be deregistered at provider when status is 'REGISTERED'. Current status: {0}","Der Client kann nur beim Anbieter deregistriert werden, wenn der Status 'REGISTERED' ist. Aktueller Status: {0}"
"Error while deregistering client at provider for TSE Client {0}","Fehler beim Deregistrieren des Clients beim Anbieter für TSE-Client {0}."
"Client {0} deregistered at provider for TSS {1}","Client {0} beim Anbieter für TSS {1} deregistriert."
"Client can only be registered at provider when status is 'DEREGISTERED'. Current status: {0}","Der Client kann nur beim Anbieter registriert werden, wenn der Status 'DEREGISTERED' ist. Aktueller Status: {0}"
"Error while registering client at provider for TSE Client {0}","Fehler beim Registrieren des Clients beim Anbieter für TSE-Client {0}."
"Client {0} registered at provider for TSS {1}","Client {0} beim Anbieter für TSS {1} registriert."
"TSE Transactions cannot be cancelled.","TSE-Transaktionen können nicht storniert werden."
"TSE Transactions cannot be deleted.","TSE-Transaktionen können nicht gelöscht werden."
"Only TSE Security Devices with status 'INITIALIZED' can be used for Transaction. Current status: {0}","Nur TSE-Sicherheitseinrichtungen mit Status 'INITIALIZED' können für Transaktionen verwendet werden. Aktueller Status: {0}"
"Only Client with status 'REGISTERED' can be used for Transaction. Current status: {0}","Nur Clients mit Status 'REGISTERED' können für Transaktionen verwendet werden. Aktueller Status: {0}"
"POS Invoice has no payments rows. Cannot build receipt schema for TSE Transaction","POS-Rechnung hat keine Zahlungszeilen. Belegschema für die TSE-Transaktion kann nicht erstellt werden."
"Invalid change_amount on POS Invoice: {0}","Ungültiger change_amount auf der POS-Rechnung: {0}"
"POS Invoice payment row is missing 'mode_of_payment'.","In einer Zahlungszeile der POS-Rechnung fehlt 'mode_of_payment'."
"Invalid payment amount for Mode of Payment {0}: {1}","Ungültiger Zahlungsbetrag für Zahlungsart {0}: {1}"
"No TSE Payment Type mapping found for Mode of Payment '{0}'","Keine TSE-Payment-Type-Zuordnung für Zahlungsart '{0}' gefunden."
"POS Invoice has no non-zero payments. Cannot build receipt schema","POS-Rechnung hat keine Zahlungen ungleich null. Belegschema kann nicht erstellt werden."
"POS Invoice has no items.","POS-Rechnung hat keine Positionen."
"POS Invoice has no taxes rows.","POS-Rechnung hat keine Steuerzeilen."
"POS Invoice items are missing item_code values. Cannot build VAT breakdown.","POS-Rechnungspositionen haben keine item_code-Werte. MwSt.-Aufschlüsselung kann nicht erstellt werden."
"No TSE VAT Rate mapping found for Tax Account '{0}'.","Keine TSE-USt.-Satz-Zuordnung für Steuerkonto '{0}' gefunden."
"Could not derive VAT amounts (no 19%/7% data found in item_wise_tax_detail).","USt.-Beträge konnten nicht ermittelt werden (keine 19%/7%-Daten in item_wise_tax_detail gefunden)."
"POS Invoice is missing a POS Profile.","POS-Rechnung hat kein POS-Profil."
"POS Profile {0} has no TSE Client set.","POS-Profil {0} hat keinen TSE-Client gesetzt."
"TSE Client {0} is missing a linked TSE Security Device.","TSE-Client {0} hat keine verknüpfte TSE-Sicherheitseinrichtung."
"TSE Device or TSE Client is missing provider IDs (tss_id / client_id).","TSE-Gerät oder TSE-Client fehlt die Anbieter-ID (tss_id / client_id)."
"POS Invoice {0} is linked to TSE Transaction {1}, which belongs to another POS Invoice ({2}).","POS-Rechnung {0} ist mit TSE-Transaktion {1} verknüpft, die zu einer anderen POS-Rechnung ({2}) gehört."
"POS Invoice already has TSE Transaction {0} with status {1}. Please resolve it before submitting again.","POS-Rechnung hat bereits die TSE-Transaktion {0} mit Status {1}. Bitte klären Sie dies, bevor Sie erneut einreichen."
"Missing TSE VAT Rate configuration for vat_rate_code '{0}'.","Fehlende TSE-USt.-Satz-Konfiguration für vat_rate_code '{0}'."
"Missing TSE Payment Type configuration for payment_code '{0}'.","Fehlende TSE-Payment-Type-Konfiguration für payment_code '{0}'."
"This account '{0}' belongs to '{1}', and not to '{2}'.","Dieses Konto '{0}' gehört zu '{1}' und nicht zu '{2}'."
"Please enter TSE API Key and API Secret in TSE Settings.","Bitte geben Sie TSE API-Key und TSE API-Secret in den TSE Settings ein."
"Please enter DSFinV-K API Key and API Secret in TSE Settings.","Bitte geben Sie DSFinV-K API-Key und DSFinV-K API-Secret in den TSE Settings ein."
"Could not obtain a valid access token from Fiskaly.","Ein gültiges Zugriffstoken konnte von Fiskaly nicht abgerufen werden."
"Could not reach Fiskaly auth endpoint: {0}","Der Fiskaly-Auth-Endpunkt konnte nicht erreicht werden: {0}"
"Authentication failed (401). Error code: {0}, message: {1}","Authentifizierung fehlgeschlagen (401). Fehlercode: {0}, Nachricht: {1}"
"Fiskaly returned a client error ({0}). Error code: {1}, message: {2}","Fiskaly hat einen Client-Fehler ({0}) zurückgegeben. Fehlercode: {1}, Nachricht: {2}"
"Fiskaly server error ({0}). Please try again later or check status.fiskaly.com. Details: {1}","Fiskaly-Serverfehler ({0}). Bitte später erneut versuchen oder status.fiskaly.com prüfen. Details: {1}"
"Could not parse Fiskaly auth response as JSON: {0}","Fiskaly-Auth-Antwort konnte nicht als JSON geparst werden: {0}"
"Authentication failed. Error code: {0}, message: {1}","Authentifizierung fehlgeschlagen. Fehlercode: {0}, Nachricht: {1}"
"Fiskaly returned a non-JSON response ({0}). Error: {1}","Fiskaly hat eine Nicht-JSON-Antwort ({0}) zurückgegeben. Fehler: {1}"
"Fiskaly returned an error ({0}). Code: {1}, Message: {2}","Fiskaly hat einen Fehler ({0}) zurückgegeben. Code: {1}, Nachricht: {2}"
"Fiskaly DSFinV-K returned a non-JSON response ({0}). Error: {1}","Fiskaly DSFinV-K hat eine Nicht-JSON-Antwort ({0}) zurückgegeben. Fehler: {1}"
"Fiskaly DSFinV-K returned an error ({0}). Code: {1}, Message: {2}","Fiskaly DSFinV-K hat einen Fehler ({0}) zurückgegeben. Code: {1}, Nachricht: {2}"
"Export requires either by_creation_date or by_business_date payload.","Der Export erfordert entweder by_creation_date- oder by_business_date-Payload."
"QR code helper unavailable","QR-Code-Helfer nicht verfügbar"
"TSE Print Format","TSE-Druckformat"
TSE Warning,TSE-Warnung,
"Disable TSE","TSE deaktivieren",
"Disable TSE integration?","TSE-Integration deaktivieren?",
"You are about to disable TSE integration.","Sie sind dabei, die TSE-Integration zu deaktivieren.",
"Disabling stops continuous signing of receipts and can create gaps in the signature chain.","Das Deaktivieren stoppt die fortlaufende Signierung von Belegen und kann Luecken in der Signaturkette verursachen.",
"Only proceed if you understand the compliance impact.","Fahren Sie nur fort, wenn Sie die rechtlichen Auswirkungen verstehen.",
"Warning: Disabling TSE interrupts the continuous signing of receipts. This can create gaps in the signature chain. Please confirm that you understand this.","Warnung: Das Deaktivieren der TSE unterbricht die fortlaufende Signierung von Belegen. Dies kann Luecken in der Signaturkette verursachen. Bitte bestaetigen Sie, dass Sie das verstanden haben.",
"I understand this warning","Ich habe den Hinweis verstanden",
"Warning: Disabling TSE interrupts the continuous signing of receipts. Please confirm the warning before saving.","Warnung: Das Deaktivieren der TSE unterbricht die fortlaufende Signierung von Belegen. Bitte bestaetigen Sie den Hinweis vor dem Speichern.",
"Disabling TSE interrupts the continuous signing of receipts. Please confirm the warning by checking ""I understand this warning"".","Das Deaktivieren der TSE unterbricht die fortlaufende Signierung von Belegen. Bitte bestaetigen Sie den Hinweis, indem Sie ""Ich habe den Hinweis verstanden"" ankreuzen.",
ValidationError,Validierungsfehler,
TSE integration is disabled. Please enable it in TSE Settings.,Die TSE-Integration ist deaktiviert. Bitte aktivieren Sie sie in den TSE Settings.,
